100, 150, 50
80, 130, 20
60, 110, 0
40, 90, 0
20, 70, 0
0, 50, 0
160, 140, 80
140, 120, 60
120, 100, 40
100, 80, 20
80, 60, 0
60, 40, 0
100, 120, 140
80, 100, 120
60, 80, 100
40, 60, 80
20, 40, 60
0, 20, 40
140, 140, 100
120, 120, 80
100, 100, 60
80, 80, 40
60, 60, 20
40, 40, 0
130, 120, 100
110, 100, 80
90, 80, 60
70, 60, 40
50, 40, 20
30, 20, 0
170, 110, 100
150, 90, 80
120, 70, 60
100, 50, 40
80, 30, 20
60, 10, 0
120, 140, 80
100, 120, 60
80, 100, 40
60, 80, 20
40, 60, 0
20, 40, 0
100, 140, 140
80, 120, 120
60, 100, 100
40, 80, 80
20, 60, 60
0, 40, 40
160, 120, 80
140, 100, 60
120, 80, 40
100, 60, 20
80, 40, 0
60, 20, 0
120, 120, 140
100, 100, 120
80, 80, 100
60, 60, 80
40, 40, 60
20, 20, 40
255, 255, 255
235, 235, 235
215, 215, 215
195, 195, 195
175, 175, 175
155, 155, 155
135, 135, 135
115, 115, 115
95, 95, 95
75, 75, 75
55, 55, 55
35, 35, 35
